,node1,n1_isTP1_dnb,n1_isTP2_dnb,node2,n2_isTP1_dnb,n2_isTP2_dnb,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
ADD3_DMTN,ADD3,,,DMTN,,,1,1,,,,1,,1,,1,,
HIST1H2AC_HIST2H2AC,HIST1H2AC,1,,HIST2H2AC,1,,1,1,,1,,,,,,,,
EIF5B_RPS4Y1,EIF5B,,,RPS4Y1,1,1,1,,,,,,,1,,,,
CCNB2_ZWINT,CCNB2,1,,ZWINT,,,1,1,,,,,,,,,,
HOXA3_WDR5,HOXA3,,,WDR5,1,1,1,1,,1,1,,,,,,,
NAT10_PWP2,NAT10,1,,PWP2,1,1,1,,1,,,,,,,,,
RBCK1_TNFRSF1A,RBCK1,1,,TNFRSF1A,,,1,1,,1,,,1,1,,,,1
BCAR1_VCL,BCAR1,1,,VCL,,1,1,,,,1,1,1,1,1,1,,1
DHX37_PELP1,DHX37,1,,PELP1,1,1,1,,,,,,,1,,,,
CCP110_CKAP5,CCP110,1,,CKAP5,1,,1,1,,,,,,,,,,
FBXL4_FBXL7,FBXL4,1,1,FBXL7,1,,1,,,,,,,1,,,1,1
HUWE1_SMURF1,HUWE1,1,,SMURF1,1,,1,1,1,,1,1,,,,,,
AURKB_NDC80,AURKB,1,,NDC80,1,,1,1,,1,,,,1,,1,,
KLC1_NBAS,KLC1,,1,NBAS,1,,1,1,,,1,,,,,,,
MRPL32_MRPL40,MRPL32,1,,MRPL40,,1,1,,,,,,,,,,,
NRAS_RAP1B,NRAS,1,1,RAP1B,1,,1,,,,,1,,,,,,
CEP89_SCLT1,CEP89,,,SCLT1,1,1,1,,,,,,,,,,,
GUK1_HDDC3,GUK1,,,HDDC3,,,1,,,,,,,,,,,
PDCD11_WDR3,PDCD11,1,,WDR3,1,,1,,,,,,,,,,,
NOL11_UTP4,NOL11,1,,UTP4,1,,1,1,,,,,,,,,,1
FBXO41_KLHL42,FBXO41,,,KLHL42,1,,1,,1,,,,,1,,,,1
ANXA1_F2R,ANXA1,1,,F2R,1,,1,,,,,,1,,,,,1
GART_MTR,GART,1,,MTR,,,1,1,,,,,,,,,,
COPS7B_ERCC8,COPS7B,,,ERCC8,1,,1,,,,,,,,,,,
AP1S3_NAPA,AP1S3,,,NAPA,,1,1,,,,1,,,,,,,1
RPL18A_RPL24,RPL18A,1,1,RPL24,,,1,1,1,,,,,1,,,,
CDC25A_ORC1,CDC25A,1,,ORC1,1,,1,1,,,,,,,,,,
MNAT1_RFC5,MNAT1,1,,RFC5,1,,1,1,,,,,,,,,,
RPSA_TSR1,RPSA,1,1,TSR1,1,,1,,1,,,1,,,,,,
EXOSC2_HELZ2,EXOSC2,1,,HELZ2,1,,1,1,,,,,,,,,,
EXOSC5_EXOSC9,EXOSC5,1,,EXOSC9,1,,1,,,,,,,1,,,,
CHD3_MTA1,CHD3,1,1,MTA1,,1,1,,,,,,,,,1,,
EIF5B_RPS2,EIF5B,,,RPS2,1,1,1,,,,,,,1,,1,,
BCAR1_WASF1,BCAR1,1,,WASF1,1,,1,1,,,,,,,,,,1
CNIH1_STX5,CNIH1,1,1,STX5,,1,1,,,,1,1,,1,,,,1
HNRNPA1_SRSF2,HNRNPA1,1,1,SRSF2,1,1,1,1,1,,,,,,,,,
KIF1C_KIF26A,KIF1C,,,KIF26A,,1,1,,,1,1,1,,1,,,,1
NOP2_TSR1,NOP2,1,,TSR1,1,,1,,1,,,,,,,,,
IFITM3_ISG15,IFITM3,,,ISG15,,,1,,,,,,,1,,,,
EP300_SKP1,EP300,,,SKP1,1,,1,,,,,1,,1,,,1,1
CENPF_MAPRE1,CENPF,1,,MAPRE1,1,,1,,,,,1,,,,1,,
CCNB2_CENPE,CCNB2,1,,CENPE,1,,1,,1,1,,1,,,,,,
CHST12_CSPG4,CHST12,,,CSPG4,,,1,1,,1,1,1,,1,,,1,1
BCAR1_CSK,BCAR1,1,,CSK,1,,1,,,,,,,,,,,
RPL18_RPL22,RPL18,,1,RPL22,,1,1,,,,,,1,,,,,
EIF2S2_EIF3A,EIF2S2,,1,EIF3A,1,,1,,,1,1,,1,1,,1,,
GRWD1_RRP9,GRWD1,1,,RRP9,1,1,1,1,,,,,,,,,,
ARCN1_KDELR3,ARCN1,1,,KDELR3,1,1,1,,,,,,,,,,,
GNAI3_RAPGEF4,GNAI3,1,,RAPGEF4,,,1,,,,,,,,,,,1
CCNB2_FOXM1,CCNB2,1,,FOXM1,,,1,1,1,,,,,1,,,,1
ERCC1_NHEJ1,ERCC1,1,,NHEJ1,1,,1,1,,,,,,1,,,,
NDC1_SRSF3,NDC1,1,,SRSF3,1,,1,,1,,,,,1,,,,1
CAPZB_CARMIL1,CAPZB,,,CARMIL1,,,1,1,,,,1,,,,,,
EIF3B_EIF4B,EIF3B,,,EIF4B,1,,1,1,,,,,,,,,,
CARD11_NFKB1,CARD11,,,NFKB1,,1,1,,,,,,,1,,1,1,1
CDK1_PLK1,CDK1,1,,PLK1,1,1,1,,1,,,,,,1,1,,
ADAMTSL4_THSD4,ADAMTSL4,,,THSD4,1,,1,1,,,,,,1,,1,,
BTBD1_UFL1,BTBD1,,,UFL1,1,,1,1,1,,,,,,,,,
ORC3_POLA2,ORC3,1,1,POLA2,1,,1,,,,,,,,,,,
KPNB1_SNUPN,KPNB1,1,,SNUPN,1,,1,,,,,1,,,,,,
DHX9_PCBP2,DHX9,1,1,PCBP2,1,1,1,,1,,1,,,1,,,,1
RPL24_RPL6,RPL24,,,RPL6,1,1,1,,,,,,,,,,,
CDC20_STAG1,CDC20,1,,STAG1,1,,1,1,,,,1,,1,,,,
PCNA_POLD4,PCNA,1,1,POLD4,1,1,1,1,,1,,,1,1,,,,
RPL18A_RPS27L,RPL18A,1,1,RPS27L,,,1,1,,,,,1,1,,1,1,1
AURKB_CCNB2,AURKB,1,,CCNB2,1,,1,1,1,,,,,,1,1,,
DDX56_PDCD11,DDX56,1,1,PDCD11,1,,1,,,,,,,,,,1,
KLHL42_SKP2,KLHL42,1,,SKP2,1,1,1,,1,,,1,,,,,1,1
AGK_MBOAT1,AGK,,,MBOAT1,1,,1,,,,,,,,,,,
FANCC_TP53,FANCC,,,TP53,1,1,1,,1,1,,1,,,,,,
CDK7_LIG1,CDK7,1,,LIG1,1,,1,1,,1,,,,,,,1,
EXOSC9_RPS2,EXOSC9,1,,RPS2,1,1,1,,,,,,,,,1,,
HNRNPF_SF3B4,HNRNPF,1,,SF3B4,1,,1,1,,,,,,,,,,1
AHCTF1_INCENP,AHCTF1,,,INCENP,1,,1,,1,,,1,,,,,,
NOP58_RRS1,NOP58,1,,RRS1,1,,1,1,,,1,,1,,,,,1
PTPN6_SHC1,PTPN6,,,SHC1,1,,1,1,,,1,,,,,,,1
ELP4_ELP5,ELP4,,,ELP5,,,1,1,1,,,1,,1,,,,1
GNAO1_PRKACB,GNAO1,1,,PRKACB,1,,1,,1,,,,,,,,,
PDCD11_TRUB1,PDCD11,1,,TRUB1,,,1,,,,,,,,,,,
NDUFA7_NDUFS6,NDUFA7,,,NDUFS6,,,1,,1,,,,1,1,,1,,
ARHGEF28_EFNB1,ARHGEF28,,,EFNB1,,,1,1,,,,,,,1,1,,
PLCB3_PRKCA,PLCB3,,1,PRKCA,1,1,1,1,1,,,,,1,,,,1
MRPL32_MRTO4,MRPL32,1,,MRTO4,1,1,1,1,,,,,,,,,,
RPL36AL_RPS15,RPL36AL,,,RPS15,1,1,1,,,,,,,1,,,,1
TAF5_TAF9B,TAF5,1,,TAF9B,,,1,1,1,,,,,,,,,
MRPL18_MRPS18B,MRPL18,1,1,MRPS18B,1,1,1,1,,,,,,1,1,,,
ITGB1_PRKACB,ITGB1,,1,PRKACB,1,,1,,,1,,,,,,,1,1
HEATR1_POLR1A,HEATR1,1,,POLR1A,1,,1,,,,,1,,,,,,
HAUS2_HMMR,HAUS2,1,,HMMR,1,,1,,,,,,,,,,,
HDAC9_PHF12,HDAC9,1,,PHF12,,,1,,,,,,,,,,,
LIG1_POLA1,LIG1,1,,POLA1,1,,1,,,,,,,,,,,
CDK1_TOP2A,CDK1,1,,TOP2A,1,,1,1,1,,,,,,1,,,
CDK1_NUF2,CDK1,1,,NUF2,1,,1,1,1,,,,,,,,,
RFC4_SMARCAL1,RFC4,1,,SMARCAL1,1,,1,1,,,,,,,,,,
BUB1B_ERCC6L,BUB1B,1,1,ERCC6L,1,,1,1,,,,1,,,,1,,
PLK1_YWHAG,PLK1,1,1,YWHAG,1,,1,,,,1,,,,,,,
BCAR1_NCK1,BCAR1,1,,NCK1,1,1,1,,,,,,,,,,,
ARPC5_EPN1,ARPC5,,,EPN1,,1,1,1,,,,,,1,,,,
BYSL_NOL11,BYSL,1,,NOL11,1,,1,1,,,,1,,1,,,,
CDC6_TFDP1,CDC6,1,,TFDP1,1,,1,,,,,,,,,1,,1
FBL_NOL11,FBL,1,1,NOL11,1,,1,,,,1,,,1,,,,
EXOC2_MYO1C,EXOC2,1,,MYO1C,,,1,,,,,1,1,1,,,,
EEF1A1_TPT1,EEF1A1,1,1,TPT1,,1,1,1,,,,1,,1,,1,,
PRKCA_PRR5,PRKCA,1,1,PRR5,,,1,1,1,,,1,,,,,,
NIP7_UTP11,NIP7,1,,UTP11,1,,1,,,,,1,,,,,,
PPP3CA_PPP3R1,PPP3CA,,,PPP3R1,,,1,,,,,,,,,,,
KPNB1_TPX2,KPNB1,1,,TPX2,1,,1,1,1,1,1,1,,,,,,
DAPP1_SYK,DAPP1,,,SYK,1,,1,,,,1,,,,,,,1
CDKN1A_PTP4A1,CDKN1A,,1,PTP4A1,,,1,1,1,1,1,,1,1,,1,,
EIF4A3_GSPT1,EIF4A3,1,,GSPT1,1,,1,1,1,,1,1,,,,,,1
NET1_RAC2,NET1,,,RAC2,,1,1,,,1,1,1,,,,,,
BCKDHB_DBT,BCKDHB,,,DBT,,,1,1,1,,,1,,1,,,1,1
UBE2N_XRCC6,UBE2N,1,1,XRCC6,1,,1,,,1,,,,,,,,
CENPJ_HMMR,CENPJ,1,,HMMR,1,,1,,,,,,,,,,,
CEP55_DLGAP5,CEP55,,,DLGAP5,1,,1,,,,,,,,,,,
DST_ITGA6,DST,1,,ITGA6,,,1,1,1,,,,,,,,,
CHSY1_CSGALNACT2,CHSY1,,,CSGALNACT2,,,1,,,,,,,1,1,,,1
BIRC3_USP2,BIRC3,1,,USP2,,,1,,,,,,,,,,,
MRPL11_RPL18A,MRPL11,1,1,RPL18A,1,1,1,1,,,,,,1,,,,
MCM8_ORC3,MCM8,1,,ORC3,1,1,1,1,,,,1,,1,,1,,
ASB6_UBE2E3,ASB6,1,,UBE2E3,,1,1,,,,,1,,1,,,,
CDC45_RRM2,CDC45,1,,RRM2,1,,1,,,,,,,,,,,
EXOSC4_IMP4,EXOSC4,1,1,IMP4,1,,1,1,,,,,1,1,,1,,
FTSJ3_NOL6,FTSJ3,1,,NOL6,1,,1,1,1,,,,,1,,,,
SF3B3_SNRNP70,SF3B3,1,,SNRNP70,1,1,1,1,1,,,1,,,,1,,
SPTBN1_YKT6,SPTBN1,1,,YKT6,1,1,1,1,1,,,,,,,,,
CDK1_PRKCE,CDK1,1,,PRKCE,1,,1,1,1,,,,,,,,,1
CDC6_E2F4,CDC6,1,,E2F4,1,,1,1,1,,1,,,,,,,
NBN_RFC5,NBN,1,,RFC5,1,,1,,,,,1,,,,,,
HSPG2_ITGB1,HSPG2,1,,ITGB1,,1,1,1,,,,,,,,,,
CDK1_KIF20A,CDK1,1,,KIF20A,1,,1,1,1,,,,,,,,,1
CENPF_KIF2A,CENPF,1,,KIF2A,1,,1,,,,,,,,,1,,
RPL24_RPS3,RPL24,,,RPS3,1,1,1,,,,,,,1,,,,
CLSPN_MCM2,CLSPN,1,,MCM2,1,,1,,,,,,,,,1,,
GEMIN5_NCBP1,GEMIN5,1,,NCBP1,1,,1,1,1,,,,,1,,,,
NDUFAF6_NDUFB3,NDUFAF6,,,NDUFB3,,,1,,,1,,,1,,,,1,
HIST2H2AC_SYNE2,HIST2H2AC,1,,SYNE2,,,1,1,1,1,,1,,1,,,1,1
CALD1_TPM3,CALD1,1,,TPM3,,,1,1,1,,,,,,,,,1
GNB4_TRIO,GNB4,,,TRIO,,,1,,,,,,,1,,,,
TCF7_TCF7L2,TCF7,,,TCF7L2,,,1,,,,,,,,1,,1,1
PHKA1_PYGB,PHKA1,,,PYGB,,,1,1,,,,,,1,,,,1
FZD2_WNT7A,FZD2,1,,WNT7A,,,1,1,1,,,,,,,,,
BIRC3_MAP4K4,BIRC3,1,,MAP4K4,,,1,,,,1,,,,,,,
ELOC_UBB,ELOC,,,UBB,1,1,1,1,1,,,,,1,1,,1,1
BUB3_STAG1,BUB3,1,1,STAG1,1,,1,1,,,1,1,1,1,,,,
H2AFX_STAG1,H2AFX,1,1,STAG1,1,,1,1,,,1,,,1,,1,,1
HMMR_YWHAE,HMMR,1,,YWHAE,1,,1,,,,,,,,,,,
CDC6_PSMC2,CDC6,1,,PSMC2,1,,1,1,1,,,1,,,,1,,1
CDC6_PSME4,CDC6,1,,PSME4,1,,1,,,,,,,,,,,
CCNB2_CENPQ,CCNB2,1,,CENPQ,1,,1,1,1,,,,,,,1,,
CCNA2_PLK1,CCNA2,1,,PLK1,1,1,1,,,,,,,,,,,
CENPJ_CETN2,CENPJ,1,,CETN2,,1,1,,,,,,,1,,,,
MED15_NCOR2,MED15,,,NCOR2,1,,1,1,,,,,,,,,,1
RPL13_RPL14,RPL13,1,1,RPL14,,1,1,,,,,,,1,,,,
SRSF3_TXNL4A,SRSF3,1,,TXNL4A,1,1,1,,,,,,,1,,,,
TAF5_TAF6,TAF5,1,,TAF6,1,,1,1,1,,,,,,1,,1,1
MAPK12_PAK2,MAPK12,1,,PAK2,1,,1,,,,1,,,,,,,
NOP2_POLR1B,NOP2,1,,POLR1B,1,,1,,1,,,,,,,,,
SH3GL1_SRC,SH3GL1,,,SRC,1,1,1,,,,,1,,,,,,
PXN_WASF1,PXN,1,,WASF1,1,,1,1,,,,,,,,,,
HEATR1_TSR1,HEATR1,1,,TSR1,1,,1,,1,,,,,,,,,
HECW2_UFL1,HECW2,,,UFL1,1,,1,1,,,1,,,,,,,1
NCBP2_NUP205,NCBP2,1,1,NUP205,1,,1,,,,,,,,,,,
IMP3_RPL13,IMP3,1,1,RPL13,1,1,1,1,,1,,,1,,,,,
NOC3L_WDR3,NOC3L,1,,WDR3,1,,1,,,,,,,,,,,
DHX9_PABPN1,DHX9,1,1,PABPN1,,,1,,,,,,,,,,,
HIP1_VAMP3,HIP1,1,,VAMP3,,,1,1,,,,1,,,,,,1
GNAO1_GNG10,GNAO1,1,,GNG10,,,1,1,1,,,1,,1,,,1,
MYC_NPM1,MYC,1,,NPM1,,,1,,1,,,,,,,1,,
CCNB2_PPP2R5A,CCNB2,1,,PPP2R5A,,,1,,,,,,,,,1,,1
LIG1_POLD4,LIG1,1,,POLD4,1,1,1,,,1,,,1,1,,,,
MRPS12_MRPS18B,MRPS12,1,1,MRPS18B,1,1,1,1,,,,1,,,1,,,
IMP4_NOP58,IMP4,1,,NOP58,1,,1,1,,,,,,,,,,1
HLA-DOB_HLA-DPB1,HLA-DOB,,,HLA-DPB1,1,1,1,,,,1,,,1,,,,1
CENPF_SMC3,CENPF,1,,SMC3,,,1,,,,,,,,,1,,
BRCC3_NBN,BRCC3,,1,NBN,1,,1,,,,,,,,,,,
TNFRSF10B_TRADD,TNFRSF10B,,,TRADD,,,1,1,,,,,1,1,,,,
CDK1_RACGAP1,CDK1,1,,RACGAP1,,,1,,,,,,,,,1,,
MAPK3_PRKCA,MAPK3,,1,PRKCA,1,1,1,1,,,,,,,,,,1
PHF5A_PRPF4,PHF5A,1,,PRPF4,1,,1,1,1,,,,,,1,1,,1
IMP4_NIFK,IMP4,1,,NIFK,1,,1,,,,,,1,1,,,1,
MRPL10_MRPL32,MRPL10,,1,MRPL32,1,,1,,,,,,,,,,,1
KLHL42_KLHL9,KLHL42,1,,KLHL9,1,,1,,1,,,,,1,,,1,1
DOCK1_RHOA,DOCK1,1,,RHOA,,1,1,1,,,,,,,,,,
ARTN_GRB7,ARTN,,,GRB7,,,1,1,,,1,,1,1,,,1,
MRPL32_RPL4,MRPL32,1,,RPL4,1,1,1,,,,,,,,,,,
KHSRP_YWHAZ,KHSRP,,,YWHAZ,1,,1,1,,,,,,,,,,
ACSS2_ALDH3A1,ACSS2,1,,ALDH3A1,,,1,,,,,,,,,,,
UBA1_UBE2N,UBA1,1,1,UBE2N,1,1,1,,,,,,,,,,,1
PRKCA_RASA1,PRKCA,1,1,RASA1,,,1,1,1,1,,,,1,,,,1
NBAS_SURF4,NBAS,1,,SURF4,1,1,1,1,,,1,1,,,,,,
PTK2_RAP1B,PTK2,1,,RAP1B,1,,1,,,,,1,,,,,,1
ARF4_KIF21A,ARF4,1,1,KIF21A,,,1,1,,,,,,,,,,
IL13RA1_IL4R,IL13RA1,,,IL4R,,,1,,,,,,,1,,,,
HDAC9_NUP62,HDAC9,1,,NUP62,1,,1,1,,,,,,,,,,
BRIX1_WDR12,BRIX1,1,,WDR12,1,,1,,,1,,1,,,,1,,
E2F4_TFDP1,E2F4,1,,TFDP1,1,,1,1,,1,1,1,,,,1,1,
ITPA_POLR2J,ITPA,,,POLR2J,1,1,1,,1,,,,,1,,,,
CDK1_PPP2R5B,CDK1,1,,PPP2R5B,,,1,,,,,,,,,1,,
E2F4_MYC,E2F4,1,,MYC,1,,1,1,1,1,1,,,,,1,,
CAV1_SMAD3,CAV1,1,,SMAD3,1,,1,1,,,,,,,,,,
GMPS_NAT10,GMPS,1,,NAT10,1,,1,,1,1,,1,,,,,,
CDK1_RRM2,CDK1,1,,RRM2,1,,1,,1,,,,,,,1,,
CWC22_SRSF3,CWC22,,,SRSF3,1,,1,,,1,,1,,,,,1,
GEMIN5_NUP155,GEMIN5,1,,NUP155,1,,1,1,,,,,,,,,,
DDX31_PWP2,DDX31,1,,PWP2,1,1,1,,,,,,,,,1,,1
MRPL32_MRPL57,MRPL32,1,,MRPL57,,,1,,,,,,,,,,,
RPN1_STT3A,RPN1,,,STT3A,,,1,1,,,,,,,,,,1
NUP43_PPP1CC,NUP43,1,,PPP1CC,1,1,1,1,1,,,,,1,,,,
SF3A2_WBP4,SF3A2,1,1,WBP4,1,,1,,,,,,,,,,,
EIF4A3_SF3A2,EIF4A3,1,,SF3A2,1,1,1,1,,,,1,,,,,,
ADM_HTR7,ADM,1,,HTR7,,,1,1,1,1,1,,,1,,,,
NOL6_WDR18,NOL6,1,,WDR18,1,,1,1,1,,,,1,1,,,,
DHX37_PDCD11,DHX37,1,,PDCD11,1,,1,,,,,1,,,,,,
HNRNPL_PRPF19,HNRNPL,1,,PRPF19,,,1,1,,,,,,,,,,
DNAJB11_HSPA5,DNAJB11,,,HSPA5,1,,1,,,,,,,1,,1,,
ARHGEF3_RAC2,ARHGEF3,,,RAC2,,1,1,,,1,1,,,1,,1,1,1
MRPL21_MRPL33,MRPL21,,,MRPL33,,,1,1,,,,,,1,,,,1
GNAI2_RAPGEF3,GNAI2,1,1,RAPGEF3,1,,1,1,1,,,,,,,,,
PDCD11_RPF2,PDCD11,1,,RPF2,1,,1,,,,,,,,,,1,
CENPJ_PLK1,CENPJ,1,,PLK1,1,1,1,,,,,,,,,,,
EEF1A1_RPL7,EEF1A1,1,1,RPL7,1,1,1,1,1,,,,,,,,,
ITGB4_YWHAG,ITGB4,1,,YWHAG,1,,1,1,,,1,,,,,,,
B3GNT2_B3GNT3,B3GNT2,,,B3GNT3,,,1,,,,,,,,,,,
POLD4_RFC3,POLD4,1,1,RFC3,1,,1,1,,1,,,1,1,,,,
EIF5B_RPL12,EIF5B,,,RPL12,1,1,1,1,1,,,1,,1,,,,
NBN_RFC4,NBN,1,,RFC4,1,,1,,1,,,,,,,1,,
FOXM1_PLK1,FOXM1,,,PLK1,1,1,1,,,,,,,1,,,,
RPS15A_RPS27A,RPS15A,,1,RPS27A,1,1,1,,1,,,,,,,,,
MAGI1_RAPGEF2,MAGI1,,,RAPGEF2,,,1,,,,,,,,,,,1
PRKAR1B_RAPGEF3,PRKAR1B,,,RAPGEF3,1,,1,,1,,,,,,,,,
CRK_MET,CRK,1,1,MET,,,1,1,,1,1,,1,,,1,,
NIP7_TFB2M,NIP7,1,,TFB2M,,,1,,,,,,,,,,,
CCNB1_H2AFX,CCNB1,1,1,H2AFX,1,1,1,,,,,,,,,,,
IL13RA1_SOCS1,IL13RA1,,,SOCS1,1,1,1,,,,,,,,,,,
CUL7_KLHL42,CUL7,1,,KLHL42,1,,1,1,1,,,,,,,,1,1
LAMA3_PAK2,LAMA3,,,PAK2,1,,1,1,,,,,,,,,,
HNRNPA1_SF3B5,HNRNPA1,1,1,SF3B5,,,1,1,,1,1,,,,,1,,
DOCK1_SYK,DOCK1,1,,SYK,1,,1,,,,,1,,,,,,1
ERCC1_RBBP8,ERCC1,1,,RBBP8,1,,1,1,,,,,1,1,,1,,1
KIF20A_NCAPG2,KIF20A,1,,NCAPG2,,,1,1,,,,,,,,,,
DDX56_NOP58,DDX56,1,1,NOP58,1,,1,1,,,1,1,,,,,1,1
BTBD1_RNF217,BTBD1,,,RNF217,1,,1,,1,,,,,,,,,
KIF2C_STAG1,KIF2C,1,,STAG1,1,,1,1,,,,,,,,1,,
BYSL_NOC2L,BYSL,1,,NOC2L,1,,1,,,,,1,,,,,,
CBL_SOCS1,CBL,1,,SOCS1,1,1,1,,,,,,,,,,,1
ITGB4_YWHAH,ITGB4,1,,YWHAH,1,,1,1,1,,,,,,,,,
UTP4_WDR36,UTP4,1,,WDR36,1,,1,,,,,,,,,,,
HSPG2_LAMA5,HSPG2,1,,LAMA5,,,1,1,,,,,,,,,,1
DHX37_UTP3,DHX37,1,,UTP3,1,1,1,,,,,1,,,,,,1
GEMIN5_TGS1,GEMIN5,1,,TGS1,,,1,,,,,,,,,,,
MRTO4_RPL10,MRTO4,1,1,RPL10,1,1,1,1,1,,,,1,,,,,
ITGB1_PTK2,ITGB1,,1,PTK2,1,,1,,,,,1,,,,,,
CCNB2_NUP107,CCNB2,1,,NUP107,1,,1,,,,,,,,,,,
HOMER3_NLGN2,HOMER3,,,NLGN2,,,1,,1,,,,,,,,,1
NT5C_PNP,NT5C,1,,PNP,1,,1,,,,,1,,1,,,1,
ARF6_GIT1,ARF6,1,,GIT1,,,1,1,1,,1,1,,,,,1,1
GPX4_MGST3,GPX4,,,MGST3,,,1,,,,,,,1,,,,
FDFT1_PDSS1,FDFT1,1,,PDSS1,,,1,1,1,1,,,1,,,,,1
HSPA5_HSPD1,HSPA5,1,,HSPD1,1,,1,1,1,1,1,,,,,1,,1
HMGN1_PCNA,HMGN1,,,PCNA,1,1,1,,,1,1,1,,,,,,
PLAT_S100A10,PLAT,,,S100A10,,,1,,,,,1,,,,,,
DNAJA3_RB1,DNAJA3,,,RB1,1,,1,1,,,,,,,,,,
TIMM44_TOMM40,TIMM44,1,,TOMM40,1,1,1,,,1,,,,,,,,
UTP3_WDR36,UTP3,1,1,WDR36,1,,1,,,,,1,,,,,,1
PCBP2_RNPS1,PCBP2,1,1,RNPS1,1,1,1,,,,,,,,,,1,
CEACAM6_ITGA5,CEACAM6,,,ITGA5,,,1,,,,1,,,,,,,
FBXW7_MYLIP,FBXW7,,,MYLIP,,,1,,,,,,,1,1,,,
CBLB_HERC4,CBLB,1,,HERC4,1,,1,,,,,,,,,,,
CRK_VWF,CRK,1,1,VWF,,1,1,1,,,1,1,1,1,1,1,,1
AKT1_NCOR2,AKT1,1,,NCOR2,1,,1,1,1,,,,,,,,1,1
IL1B_IRAK2,IL1B,1,,IRAK2,1,,1,1,1,,,,,,,,,
KIF20A_KLC1,KIF20A,1,,KLC1,,1,1,,,,,,,,,,,
BYSL_PWP1,BYSL,1,,PWP1,,,1,,,,,,,,,,,
CALD1_TPM2,CALD1,1,,TPM2,,1,1,1,,,,,,,,,,
CSNK1D_LMAN2,CSNK1D,1,,LMAN2,1,1,1,,,,1,1,,1,,,1,
POLA1_SMC4,POLA1,1,,SMC4,,,1,,,,,,,,,,,
NCK1_PXN,NCK1,1,1,PXN,1,,1,,,,,,,,,,,1
NOP2_RRP9,NOP2,1,,RRP9,1,1,1,1,,,,,,,,,,
SNRPB_SRSF3,SNRPB,1,,SRSF3,1,,1,,,,,,,,,,,
ALYREF_SRSF3,ALYREF,1,1,SRSF3,1,,1,,,,,,,1,,,,
ARCN1_COG6,ARCN1,1,,COG6,,,1,1,1,,,,,,,,1,1
SPSB2_TRAIP,SPSB2,1,,TRAIP,1,,1,1,,1,,,,,,,,
THOC6_U2AF1,THOC6,1,,U2AF1,,,1,1,1,,,1,,,,,,
NCK1_ROBO1,NCK1,1,1,ROBO1,,1,1,,,,,,1,,,,,
HMGB2_SUPT16H,HMGB2,1,,SUPT16H,1,,1,1,1,,,,,,,,,
SDC1_XYLT1,SDC1,,,XYLT1,,,1,1,,,,,,,,,,
NOC3L_RRP1B,NOC3L,1,,RRP1B,1,,1,,,,,,,,,,,
AURKA_KIF20A,AURKA,,,KIF20A,1,,1,1,1,,,,,,,,,
CCP110_SCLT1,CCP110,1,,SCLT1,1,1,1,1,,,,,,,,,,
NME2_RRM2,NME2,1,,RRM2,1,,1,,1,,,,,,1,,,
CAT_SOD2,CAT,,,SOD2,1,,1,1,1,1,,,,,,,,
CIT_RAC1,CIT,1,,RAC1,1,1,1,,,,,,,1,1,1,1,1
CKAP5_YWHAG,CKAP5,1,,YWHAG,1,,1,1,,,1,,,,,,,
NOP9_RPF2,NOP9,1,,RPF2,1,,1,1,1,,,,,,,,,
CDC6_RB1,CDC6,1,,RB1,1,,1,1,,,,1,,1,,1,,
MCM8_PCNA,MCM8,1,,PCNA,1,1,1,,,,,,,,,,,
C12orf10_UMPS,C12orf10,,,UMPS,1,,1,1,1,1,,1,1,1,1,,,1
LMNB1_SUN2,LMNB1,,,SUN2,1,,1,1,,,,,,,,1,,
NOL11_XRN2,NOL11,1,,XRN2,1,,1,,,,,,,,,,,
HMGB2_SET,HMGB2,1,,SET,,,1,1,1,1,1,,,,,,1,
PERP_TP63,PERP,,,TP63,1,,1,1,1,,,,,1,,1,1,1
FBN2_MFAP2,FBN2,,,MFAP2,1,,1,1,,,,,,,,,,1
ARCN1_KIF20A,ARCN1,1,,KIF20A,1,,1,1,1,,,1,,,,1,1,
COPS8_POLR2D,COPS8,1,,POLR2D,1,1,1,,,,,1,,,1,1,1,1
RPL18A_RPS5,RPL18A,1,1,RPS5,1,1,1,,1,,,,,,,,,
POLE4_RAD51C,POLE4,1,,RAD51C,,,1,,,,,,,,,,,
KIF20A_PRC1,KIF20A,1,,PRC1,,,1,1,,,,,,,,1,,
PSMB9_SKP2,PSMB9,1,,SKP2,1,1,1,,1,,,,,,,,,
MRPL12_MTIF2,MRPL12,1,,MTIF2,1,1,1,,,,,,,1,,,,
CENPF_INCENP,CENPF,1,,INCENP,1,,1,,,,,,,,,,,
DHX37_RRP7A,DHX37,1,,RRP7A,1,1,1,,,,,1,,,,,,1
IMP4_MRTO4,IMP4,1,,MRTO4,1,1,1,1,,,,,,,,,,
ELP3_ELP4,ELP3,,,ELP4,,,1,1,,,,,,,,,,
CDC20_CDC6,CDC20,1,,CDC6,1,,1,,,,,,,,,,,
AJUBA_WDR5,AJUBA,,,WDR5,1,1,1,,,,,1,,,,,,
CBLB_UBR4,CBLB,1,,UBR4,,1,1,,,,1,1,,,,,,
RPL32_RPL37,RPL32,,,RPL37,,1,1,,,,,,1,1,,,,
JUN_MAFB,JUN,,,MAFB,,,1,1,1,1,1,,,,,1,,
FUT8_MGAT2,FUT8,1,,MGAT2,,,1,1,,,,1,,,,1,,
