,node1,n1_isTP1_dnb,n1_isTP2_dnb,node2,n2_isTP1_dnb,n2_isTP2_dnb,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
CDC20_KIF18A,CDC20,1,,KIF18A,1,,1,,,,,,,,,,,
MAPK12_RALA,MAPK12,1,,RALA,1,,1,,,,,,,,,,,
NOL6_TSR1,NOL6,1,,TSR1,1,,1,,1,,,,,,,,,
ACSS2_ALDH3A2,ACSS2,1,,ALDH3A2,,,1,,,,,,,,,,,
MCM3_RB1,MCM3,1,,RB1,1,,1,1,,1,,,,,,,,
EEF1A1_RPL9,EEF1A1,1,1,RPL9,,1,1,1,1,,,,,,,1,,
EDNRA_GNAQ,EDNRA,1,,GNAQ,1,1,1,,,,,1,,,,,,1
GRWD1_PDCD11,GRWD1,1,,PDCD11,1,,1,,,,,,,1,,,,
CBLB_SH3KBP1,CBLB,1,,SH3KBP1,,,1,,,,1,1,,,,,,
SEC16A_YKT6,SEC16A,1,1,YKT6,1,1,1,1,,,,,,1,,,,
NIFK_PDCD11,NIFK,1,,PDCD11,1,,1,,,,,1,,1,,,1,
CBLB_DAPP1,CBLB,1,,DAPP1,,,1,,,,1,1,,,,,,
DDX56_NOL6,DDX56,1,1,NOL6,1,,1,1,,,,,,,,1,1,
APP_EGF,APP,1,,EGF,,1,1,,,,,,,1,1,,1,1
APEX1_RFC3,APEX1,1,,RFC3,1,,1,,,,,,,,,,,
SAR1B_TMED2,SAR1B,1,1,TMED2,1,1,1,,1,,,,,,,,,
LYAR_NIP7,LYAR,1,,NIP7,1,,1,1,,,,1,,,,,,
DVL1_INVS,DVL1,1,,INVS,,,1,,,,,,,,,,,
ACTN1_ZYX,ACTN1,1,1,ZYX,1,1,1,,,,1,1,,,,,,
CLASP2_NUP107,CLASP2,,,NUP107,1,,1,,,,,,,,,,,
CDC45_CHEK1,CDC45,1,,CHEK1,1,1,1,,,1,,,,,,,,
APP_TGFBI,APP,1,,TGFBI,,,1,1,,,,,,,,,,
RIPK1_TNFRSF10B,RIPK1,1,,TNFRSF10B,,,1,,,1,,,,,,,1,
CRK_IGF1R,CRK,1,1,IGF1R,1,1,1,1,,,1,,,1,,,,
CCNB1_KPNA2,CCNB1,1,1,KPNA2,,,1,1,1,,,,,,,1,,
SLC25A13_TOMM40,SLC25A13,1,,TOMM40,1,1,1,1,,1,,,,1,,,,
HNRNPD_HNRNPF,HNRNPD,1,1,HNRNPF,1,,1,1,1,,1,1,,1,,,,
LRR1_UBE2N,LRR1,1,,UBE2N,1,1,1,1,,1,,,,,,,,
KLHL5_TRAIP,KLHL5,1,1,TRAIP,1,,1,1,,,,1,,,,,,
NCOA1_NCOR2,NCOA1,,,NCOR2,1,,1,1,,,,1,,1,,,,
EXOSC2_NOL6,EXOSC2,1,,NOL6,1,,1,1,1,,,,,,,,,
ABAT_ALDH1A3,ABAT,,,ALDH1A3,1,,1,1,1,,,,,,,,1,1
GLI3_PSMC3,GLI3,,,PSMC3,,,1,,,1,1,,,,,,1,1
CCNB2_CDC25A,CCNB2,1,,CDC25A,1,,1,1,1,,,,,,,,,
KLHL5_RBCK1,KLHL5,1,1,RBCK1,1,,1,,,1,1,,1,1,,,,
CD36_PPARG,CD36,,,PPARG,1,,1,1,1,,,,,1,1,,,1
HRAS_PELP1,HRAS,1,1,PELP1,1,1,1,,,,,,,,,,,
CCNA1_PLK1,CCNA1,1,,PLK1,1,1,1,,,,,,,,,,,
GDNF_RAP1A,GDNF,1,,RAP1A,1,1,1,1,1,,1,1,,,1,,,
ERCC6L_NDC80,ERCC6L,1,,NDC80,1,,1,1,,,,,,1,,,,
DDX21_POLR1D,DDX21,,,POLR1D,1,1,1,1,1,,1,,1,,,,,
POLA1_POLA2,POLA1,1,,POLA2,1,,1,,,,,,,,,,,
POLR1B_RRN3,POLR1B,1,,RRN3,1,,1,,,,,,,,,,,
ABAT_ALDH1B1,ABAT,,,ALDH1B1,1,,1,1,1,,,1,,1,,1,1,1
APP_NPFFR1,APP,1,,NPFFR1,,,1,1,1,,,,,,,1,,1
PAK2_PSMC2,PAK2,1,,PSMC2,1,,1,1,,,,,,,,,,1
LCN2_SLC22A17,LCN2,,,SLC22A17,,,1,1,1,,1,,,,,,,
HNRNPA1_SF3B2,HNRNPA1,1,1,SF3B2,1,1,1,,1,1,,,,1,,1,1,
GAPVD1_SNX18,GAPVD1,,,SNX18,,,1,,1,1,,1,,,,,,
MRPL20_RPL3,MRPL20,1,,RPL3,1,1,1,,1,,,,,,,1,,1
